STATE_UT,YEAR,FOREIGN_TOURIST_ARRIVALS_MILLIONS,DOMESTIC_TOURIST_VISITS_MILLIONS,TOTAL_VISITORS_MILLIONS,RANK_BY_FTA,RANK_BY_DTV,ANNUAL_GROWTH_RATE_FOREIGN,ANNUAL_GROWTH_RATE_DOMESTIC,ANNUAL_GROWTH_RATE_TOTAL,POPULAR_TOURIST_SITES,CATEGORY_AGE_WISE,TOURISM_REVENUE_CRORES,REGION,PRIMARY_MODE_OF_ENTRY,TOP_3_COUNTRIES_OF_FOREIGN_TOURISTS,MONUMENT_VISITS_MILLIONS
Jammu & Kashmir,2021,5.979,161.857,167.836,2,30,53.58,26.94,40.26,NA,37%/ 25%/ 40%/ 11%,14870.74,North,Land,"Australia, Sri Lanka, Russia",22.99
Jammu & Kashmir,2022,5.838,57.752,63.59,14,13,5.34,-34.08,-14.37,NA,17%/ 34%/ 20%/ 12%,11360.13,North,Air,"USA, Sri Lanka, Russia",1.95
Telangana,2021,5.019,239.335,244.354,12,3,182.53,42.11,112.32,NA,29%/ 25%/ 31%/ 17%,5034.43,South,Air,"Canada, France, Sri Lanka",10.93
Telangana,2022,2.196,187.09,189.286,5,2,-55.78,35.15,-10.32,NA,22%/ 31%/ 38%/ 16%,2432.3,South,Air,"Bangladesh, USA, UK",10.82
Haryana,2021,4.446,159.24,163.686,14,27,19.08,198.23,108.66,NA,30%/ 33%/ 36%/ 16%,4612.67,North,Sea,"Russia, UK, Australia",8.26
Haryana,2022,5.063,97.021,102.084,2,4,-50.63,150.2,49.78,NA,35%/ 35%/ 24%/ 14%,14109.18,North,Sea,"Australia, Russia, Sri Lanka",20.05
Tripura,2021,1.152,113.874,115.026,28,7,-21.6,116.65,47.53,NA,20%/ 37%/ 40%/ 10%,2650.23,North-East,Land,"Russia, Canada, Bangladesh",7.4
Tripura,2022,0.236,232.553,232.789,13,16,-0.33,160.4,80.03,NA,38%/ 25%/ 30%/ 11%,13797.47,North-East,Sea,"Australia, Russia, Sri Lanka",4.69
Nagaland,2021,3.488,256.892,260.38,10,20,58.98,190.76,124.87,NA,23%/ 23%/ 23%/ 15%,10722.89,North-East,Land,"Sri Lanka, Canada, Australia",13.43
Nagaland,2022,2.894,347.8,350.694,20,4,90.6,112.93,101.77,NA,13%/ 25%/ 36%/ 6%,6605.17,North-East,Land,"USA, Canada, Australia",17.62
Manipur,2021,0.076,224.049,224.125,29,17,94.78,156.4,125.59,NA,24%/ 40%/ 28%/ 5%,14815.38,North-East,Land,"Canada, USA, Russia",23.86
Manipur,2022,6.114,142.822,148.936,6,28,103.31,1.5,52.41,NA,25%/ 22%/ 32%/ 11%,13610.75,North-East,Air,"Canada, Australia, UK",2.64
Sikkim,2021,0.838,184.597,185.435,14,3,74.61,-12.76,30.93,NA,13%/ 30%/ 20%/ 13%,7415.8,North-East,Air,"Russia, Australia, UK",8.01
Sikkim,2022,3.968,339.242,343.21,9,28,94.29,96.62,95.46,NA,16%/ 20%/ 24%/ 20%,13723.34,North-East,Air,"Canada, Bangladesh, UK",6.56
Meghalaya,2021,0.702,142.713,143.415,25,20,252.75,38.28,145.51,NA,39%/ 33%/ 36%/ 17%,7899.89,North-East,Land,"Bangladesh, Australia, Sri Lanka",17.67
Meghalaya,2022,4.343,198.119,202.462,29,12,69.68,-19.32,25.18,NA,38%/ 23%/ 26%/ 20%,10471.78,North-East,Sea,"Sri Lanka, Russia, UK",3.61
Uttarakhand,2021,5.61,218.515,224.125,12,20,104.97,53.4,79.19,NA,10%/ 25%/ 35%/ 19%,13787.85,North,Sea,"Russia, UK, Canada",16.98
Uttarakhand,2022,4.827,122.747,127.574,27,1,286.91,185.56,236.24,NA,29%/ 21%/ 31%/ 9%,13418.31,North,Sea,"Russia, Sri Lanka, USA",7.09
Puducherry,2021,4.889,101.159,106.048,8,24,162.95,194.31,178.63,NA,40%/ 26%/ 26%/ 20%,4653.52,South,Air,"Bangladesh, France, Sri Lanka",23.76
Puducherry,2022,5.762,297.052,302.814,26,15,272.45,178.45,225.45,NA,26%/ 25%/ 40%/ 13%,8176.88,South,Air,"USA, Canada, Russia",19.56
Chandigarh,2021,0.816,344.066,344.882,1,29,-53.99,135.54,40.77,NA,37%/ 33%/ 21%/ 18%,8740.67,North,Land,"France, Bangladesh, UK",20.95
Chandigarh,2022,1.032,289.823,290.855,2,18,241.6,158.22,199.91,NA,12%/ 32%/ 20%/ 6%,7816.48,North,Sea,"UK, USA, Russia",4.82
